restaurant_id,restaurant_name,location,cuisines,estimated_cost_for_two,rating,votes,cuisine_tags,budget_category
rest_000281,Qissa Khawani,Church Street,"North Indian, Mughlai",800.0,4.4,319,North Indian|Mughlai,medium
rest_000282,Yo! Chow,Marathahalli,"Chinese, Momos",800.0,4.4,1777,Chinese|Momos,medium
rest_000283,Enerjuvate Studio & Cafe,Koramangala 4Th Block,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800.0,4.4,464,Cafe|Continental|Healthy Food|Sandwich|Pizza|Desserts|Beverages,medium
rest_000284,Shanmukha,Jayanagar,"Biryani, Andhra, North Indian, Chinese",800.0,4.4,1944,Biryani|Andhra|North Indian|Chinese,medium
rest_000285,Lavonne,Indiranagar,"Cafe, Desserts",800.0,4.4,1095,Cafe|Desserts,medium
rest_000286,Teburu,Kalyan Nagar,"Asian, Chinese, Japanese, Bbq",800.0,4.4,203,Asian|Chinese|Japanese|Bbq,medium
rest_000287,Third Wave Coffee Roasters,Koramangala 4Th Block,"Cafe, Continental, Desserts",800.0,4.4,1224,Cafe|Continental|Desserts,medium
rest_000288,Dhuaan,Koramangala 5Th Block,"Cafe, Continental",800.0,4.4,154,Cafe|Continental,medium
rest_000289,Le Arabia,Basaveshwara Nagar,"North Indian, Mughlai",800.0,4.4,1016,North Indian|Mughlai,medium
rest_000290,Sanchez Taqueria & Cantina,Indiranagar,"Mexican, Tex-Mex",800.0,4.4,84,Mexican|Tex-Mex,medium
rest_000291,The Konkan - Seafood Restaurant,St. Marks Road,"Seafood, Konkan, Mangalorean",850.0,4.4,218,Seafood|Konkan|Mangalorean,medium
rest_000292,Deja Vu Resto Bar,Bannerghatta Road,"North Indian, Italian",900.0,4.4,2487,North Indian|Italian,medium
rest_000293,YORK St.,Koramangala 5Th Block,"Cafe, European, Continental",900.0,4.4,939,Cafe|European|Continental,medium
rest_000294,Cable Car,Jayanagar,"North Indian, Italian",1000.0,4.4,1224,North Indian|Italian,medium
rest_000295,Hotel Tom's Restaurant,Richmond Road,"Mangalorean, Seafood, Chinese, North Indian",1000.0,4.4,712,Mangalorean|Seafood|Chinese|North Indian,medium
rest_000296,Tree Tops Bar & Kitchen,Lavelle Road,"North Indian, Chinese, Continental, Italian",1000.0,4.4,189,North Indian|Chinese|Continental|Italian,medium
rest_000297,Hanoi - Vietnamese Cuisine,Koramangala 4Th Block,Vietnamese,1000.0,4.4,1796,Vietnamese,medium
rest_000298,Nasi And Mee,Koramangala 4Th Block,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1000.0,4.4,2386,Malaysian|Thai|Singaporean|Asian|Chinese|Momos,medium
rest_000299,Mimansa @ Foxtrot,Koramangala 3Rd Block,Cafe,1000.0,4.4,191,Cafe,medium
rest_000300,Drunkling - Sizzlers and Pub,Koramangala 5Th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",1000.0,4.4,345,Chinese|Continental|North Indian|Burger|Pizza|Seafood,medium
